username,password,dateOfBirth,grade,district,school,group
zzzCypressTestStudent0,zzzCypressTestStudentPassword0,01/31/2001,5,zzzCypressTestDistrict,zzzCypressTestSchool,zzzCypressTestGroup
zzzCypressTestStudent1,zzzCypressTestStudentPassword1,01/31/2001,5,zzzCypressTestDistrict,zzzCypressTestSchool,zzzCypressTestGroup
zzzCypressTestStudent2,zzzCypressTestStudentPassword2,01/31/2001,5,zzzCypressTestDistrict,zzzCypressTestSchool,zzzCypressTestGroup
zzzCypressTestStudent3,zzzCypressTestStudentPassword3,01/31/2001,5,zzzCypressTestDistrict,zzzCypressTestSchool,zzzCypressTestGroup
zzzCypressTestStudent4,zzzCypressTestStudentPassword4,01/31/2001,5,zzzCypressTestDistrict,zzzCypressTestSchool,zzzCypressTestGroup
zzzCypressTestStudent5,zzzCypressTestStudentPassword5,01/31/2001,5,zzzCypressTestDistrict,zzzCypressTestSchool,zzzCypressTestGroup
zzzCypressTestStudent6,zzzCypressTestStudentPassword6,01/31/2001,5,zzzCypressTestDistrict,zzzCypressTestSchool,zzzCypressTestGroup
zzzCypressTestStudent7,zzzCypressTestStudentPassword7,01/31/2001,5,zzzCypressTestDistrict,zzzCypressTestSchool,zzzCypressTestGroup
zzzCypressTestStudent8,zzzCypressTestStudentPassword8,01/31/2001,5,zzzCypressTestDistrict,zzzCypressTestSchool,zzzCypressTestGroup
zzzCypressTestStudent9,zzzCypressTestStudentPassword9,01/31/2001,5,zzzCypressTestDistrict,zzzCypressTestSchool,zzzCypressTestGroup
zzzCypressTestStudent10,zzzCypressTestStudentPassword10,01/31/2001,5,zzzCypressTestDistrict,zzzCypressTestSchool,zzzCypressTestGroup
zzzCypressTestStudent11,zzzCypressTestStudentPassword11,01/31/2001,5,zzzCypressTestDistrict,zzzCypressTestSchool,zzzCypressTestGroup
zzzCypressTestStudent12,zzzCypressTestStudentPassword12,01/31/2001,5,zzzCypressTestDistrict,zzzCypressTestSchool,zzzCypressTestGroup
zzzCypressTestStudent13,zzzCypressTestStudentPassword13,01/31/2001,5,zzzCypressTestDistrict,zzzCypressTestSchool,zzzCypressTestGroup
zzzCypressTestStudent14,zzzCypressTestStudentPassword14,01/31/2001,5,zzzCypressTestDistrict,zzzCypressTestSchool,zzzCypressTestGroup
zzzCypressTestStudent15,zzzCypressTestStudentPassword15,01/31/2001,5,zzzCypressTestDistrict,zzzCypressTestSchool,zzzCypressTestGroup
zzzCypressTestStudent16,zzzCypressTestStudentPassword16,01/31/2001,5,zzzCypressTestDistrict,zzzCypressTestSchool,zzzCypressTestGroup
zzzCypressTestStudent17,zzzCypressTestStudentPassword17,01/31/2001,5,zzzCypressTestDistrict,zzzCypressTestSchool,zzzCypressTestGroup
zzzCypressTestStudent18,zzzCypressTestStudentPassword18,01/31/2001,5,zzzCypressTestDistrict,zzzCypressTestSchool,zzzCypressTestGroup
zzzCypressTestStudent19,zzzCypressTestStudentPassword19,01/31/2001,5,zzzCypressTestDistrict,zzzCypressTestSchool,zzzCypressTestGroup
zzzCypressTestStudent20,zzzCypressTestStudentPassword20,01/31/2001,5,zzzCypressTestDistrict,zzzCypressTestSchool,zzzCypressTestGroup
